Unnamed: 0,row ID,smiles,row m/z,match_id,match_smiles,pair_similarity,mps,pp,mps_pp,mcs
9921,65,CCC[C@H](C[C@@H]1[C@@H](O)C2C(=C(C(=C(C=2)OC)OC)O)C(=O)O1)O,327.1458435,CNP0213598,O=C(O)CC=CCC1C(O)CC(=O)C1CCC(=O)CCC(=O)O,0.50171981,13.0,0.139784946,13.0,0.46875
9924,65,CCC[C@H](C[C@@H]1[C@@H](O)C2C(=C(C(=C(C=2)OC)OC)O)C(=O)O1)O,327.1458435,CNP0219302,O=C1OC(C=CC(O)CC(OC(=O)C)C(OC(=O)C)C)CC=C1,0.317510914,8.0,0.086021505,8.0,0.382352941
1734,7,COC1C=CC=C2C=1C(C1C(O)=C3C(OC4C3CCO4)=CC=1O2)=O,327.0853577,CNP0178621,O=C1C2=CC=C(O)C(O)=C2OC3=CC=4OC(C=CC4C(O)=C13)(C)C,0.699311811,3.0,0.081081081,3.0,0.666666667
9931,65,CCC[C@H](C[C@@H]1[C@@H](O)C2C(=C(C(=C(C=2)OC)OC)O)C(=O)O1)O,327.1458435,CNP0260115,OCC1OC(OC2=CC(=CC=C2OC)C=CC)C(O)C(O)C1O,0.339229092,12.0,0.129032258,12.0,0.655172414
18126,101,CC(C=C)(C)C12C3=C(NC1N(C(C(C=CC=C4)=C4N5)=O)C(C5=O)C2)C=CC=C3,396.1694641,CCMSLIB00010103791,CC(C)(C)c1ccc(-c2nc(Nc3ccc(C(=O)O)cc3)c3ccccc3n2)cc1,0.985059619,1.0,0.142857143,1.0,0.625
9935,65,CCC[C@H](C[C@@H]1[C@@H](O)C2C(=C(C(=C(C=2)OC)OC)O)C(=O)O1)O,327.1458435,CNP0206563,OCC1OC(OCC=CC2=CC=C(OC)C=C2)C(O)C(O)C1O,0.299869942,11.0,0.11827957,11.0,0.411764706
18127,101,CC(C=C)(C)C12C3=C(NC1N(C(C(C=CC=C4)=C4N5)=O)C(C5=O)C2)C=CC=C3,396.1694641,CCMSLIB00010115124,CC(C)(C)c1ccc(-c2nc(Nc3ccc(C(=O)O)cc3)c3ccccc3n2)cc1,0.840876698,1.0,0.142857143,1.0,0.625
9939,65,CCC[C@H](C[C@@H]1[C@@H](O)C2C(=C(C(=C(C=2)OC)OC)O)C(=O)O1)O,327.1458435,CNP0202514,O=C(OC1=C(OC)C=C(C=C1OC)C(OC)C(OC(=O)C)C)C,0.344035161,15.0,0.161290323,15.0,0.620689655
9943,65,CCC[C@H](C[C@@H]1[C@@H](O)C2C(=C(C(=C(C=2)OC)OC)O)C(=O)O1)O,327.1458435,CNP0320911,OCC1OC2OC(C)C(OC2C(O)C1O)C3=CC=C(OC)C=C3,0.425857523,14.0,0.150537634,14.0,0.689655172
9944,65,CCC[C@H](C[C@@H]1[C@@H](O)C2C(=C(C(=C(C=2)OC)OC)O)C(=O)O1)O,327.1458435,CNP0266523,O=C(COC1C(O)C(O)C(O)OC1CO)CCC=2C=CC=CC2,0.293411993,16.0,0.172043011,16.0,0.714285714
9945,65,CCC[C@H](C[C@@H]1[C@@H](O)C2C(=C(C(=C(C=2)OC)OC)O)C(=O)O1)O,327.1458435,CNP0269845,O=C(OC(C1=CC(OC)=C(OC)C=C1OC)C(OC(=O)C)C)C,0.370961066,8.0,0.086021505,8.0,0.678571429
18141,85,CC1(C)CCC[C@@]2(C)[C@@]1([H])[C@H](O)C=C(C)[C@]2(O)C=O,275.1616516,CCMSLIB00000852063,CC(C)(O)C1CCC2(C)C3C(O)C4C(C13)C24CO,0.865781264,3.0,0.6,3.0,0.6
1758,7,COC1C=CC=C2C=1C(C1C(O)=C3C(OC4C3CCO4)=CC=1O2)=O,327.0853577,CNP0161472,O=C1C2=CC(O)=C3OC(C=CC3=C2OC=4C=C(O)C=C(O)C14)(C)C,0.811375022,2.0,0.054054054,2.0,0.617647059
9951,65,CCC[C@H](C[C@@H]1[C@@H](O)C2C(=C(C(=C(C=2)OC)OC)O)C(=O)O1)O,327.1458435,CNP0180339,O=C(O[Si](C)(C)C)CC1=CC=C(O[Si](C)(C)C)C(OC)=C1,0.28312287,7.0,0.075268817,7.0,0.607142857
