row ID,row m/z,row retention time,Kutz43850OSMAC-GSM.mzML Peak area,Kutz43850OSMAC-GSM_con.mzML Peak area,Kutz43850OSMAC-2216E.mzML Peak area,Kutz43850OSMAC-2216E_con.mzML Peak area,Kutz43850OSMAC-LB.mzML Peak area,Kutz43850OSMAC-LB_con.mzML Peak area,Kutz43850OSMAC-M42.mzML Peak area,Kutz43850OSMAC-M42_con.mzML Peak area,Kutz43850OSMAC-MHB.mzML Peak area,Kutz43850OSMAC-MHB_con.mzML Peak area,Kutz43850OSMAC-R2A.mzML Peak area,Kutz43850OSMAC-R2A_con.mzML Peak area,Kutz43850OSMAC-TSB.mzML Peak area,Kutz43850OSMAC-TSB_con.mzML Peak area
28,388.0989646,5.331533333,312388.838,0,0,0,0,0,0,0,0,0,0,0,0,0
29,385.2911749,14.70005,298870.5115,0,0,0,0,0,0,0,0,0,0,0,0,0
31,386.1205898,8.928183333,232531.514,0,0,0,0,0,0,0,0,0,0,0,0,0
33,335.1086037,9.255916667,222581.3735,0,0,0,0,0,0,0,0,0,0,0,0,0
37,306.1198289,6.9698,189403.186,0,0,0,0,0,0,0,0,0,0,0,0,0
38,341.3043835,18.08005,122799.3575,0,0,0,0,0,0,0,0,0,0,0,0,0
39,447.4163483,19.3346,128118.404,0,0,0,0,0,0,0,0,0,0,0,0,0
40,302.2438581,16.82778333,129397.566,0,0,0,0,0,0,0,0,0,0,0,0,0
41,327.2253807,17.96546667,143184.9165,0,0,0,0,0,0,0,0,0,0,0,0,0
42,707.3830293,16.11896667,131261.6095,0,0,0,0,0,0,0,0,0,0,0,0,0
43,330.3353876,17.82475,197021.2405,0,0,0,0,0,0,0,0,0,0,0,0,0
45,367.280402,17.60038333,184186.5115,0,0,0,0,0,0,0,0,0,0,0,0,0
47,315.2256949,18.04163333,138434.2455,0,0,0,0,0,0,0,0,0,0,0,0,0
48,506.2849631,15.96703333,133697.278,0,0,0,0,0,0,0,0,0,0,0,0,0
49,331.0938957,0.494816667,208374.3285,0,0,0,0,0,0,0,0,0,0,0,0,0
50,398.148036,8.888533333,145924.198,0,0,0,0,0,0,0,0,0,0,0,0,0
52,693.3675463,15.77268333,108633.3135,0,0,0,0,0,0,0,0,0,0,0,0,0
53,313.2729932,17.34681667,87819.701,0,0,0,0,0,0,0,0,0,0,0,0,0
56,321.2048464,16.19476667,103412.545,0,0,0,0,0,0,0,0,0,0,0,0,0
57,420.1300638,8.888533333,121066.305,0,0,0,0,0,0,0,0,0,0,0,0,0
58,369.2599552,16.42511667,92087.783,0,0,0,0,0,0,0,0,0,0,0,0,0
59,382.1532297,11.77306667,111323.169,0,0,0,0,0,0,0,0,0,0,0,0,0
60,439.353391,19.11925,100314.9475,0,0,0,0,0,0,0,0,0,0,0,0,0
61,309.208501,18.04163333,111259.9325,0,0,0,0,0,0,0,0,0,0,0,0,0
62,404.1353575,11.783,112404.101,0,0,0,0,0,0,0,0,0,0,0,0,0
64,393.2963709,18.26105,77771.5955,0,0,0,0,0,0,0,0,0,0,0,0,0
65,437.1851475,17.77916667,158571.671,0,0,0,0,0,0,0,0,0,0,0,0,0
66,421.3273967,19.11925,97749.676,0,0,0,0,0,0,0,0,0,0,0,0,0
68,465.2167685,18.52986667,97064.65,0,0,0,0,0,0,0,0,0,0,0,0,0
70,469.3279385,19.31956667,69113.805,0,0,0,0,0,0,0,0,0,0,0,0,0
71,320.2548107,15.84151667,82802.6515,0,0,0,0,0,0,0,0,0,0,0,0,0
72,313.2334237,15.4578,99029.7245,0,0,0,0,0,0,0,0,0,0,0,0,0
73,323.2247346,18.52,86962.523,0,0,0,0,0,0,0,0,0,0,0,0,0
78,647.5581839,21.11341667,193198.6475,0,0,0,0,0,0,0,0,0,0,0,0,0
82,381.1088551,14.4529,110893.049,0,0,0,0,0,0,0,0,0,0,0,0,0
83,367.0987444,8.825866667,72217.3775,0,0,0,0,0,0,0,0,0,0,0,0,0
85,429.2397231,18.18888333,48954.611,0,0,0,0,0,0,0,0,0,0,0,0,0
86,341.265122,15.43686667,92511.8465,0,0,0,0,0,0,0,0,0,0,0,0,0
87,531.3137387,15.86216667,59266.807,0,0,0,0,0,0,0,0,0,0,0,0,0
88,376.2957999,18.75648333,47677.0485,0,0,0,0,0,0,0,0,0,0,0,0,0
90,457.3487807,15.60628333,83919.9085,0,0,0,0,0,0,0,0,0,0,0,0,0
91,320.2546886,15.25603333,79618.4845,0,0,0,0,0,0,0,0,0,0,0,0,0
92,433.3792728,22.12065,70201.897,0,0,0,0,0,0,0,0,0,0,0,0,0
93,368.0765949,5.619,57525.179,0,0,0,0,0,0,0,0,0,0,0,0,0
95,318.2992291,15.89796667,72924.59,0,0,0,0,0,0,0,0,0,0,0,0,0
371,431.2135173,4.803316667,0,0,892514.7115,0,0,0,0,0,0,0,0,0,0,0
376,272.1601109,3.112791667,0,0,938805.2977,0,0,0,0,0,647816.4977,0,0,0,0,0
378,411.2172109,4.343916667,0,0,844900.858,0,0,0,0,0,635270.242,0,0,0,529786.128,0
383,470.260882,6.180833333,0,0,607978.9978,0,0,0,0,0,0,0,0,0,0,0
389,553.305657,7.495194444,0,0,361183.0915,0,143376.6167,0,0,0,383602.9978,0,0,0,0,0
393,401.2393881,8.001266667,0,0,341352.9718,0,0,0,0,0,0,0,0,0,0,0
396,758.3455029,5.623983333,0,0,242578.2908,0,0,0,0,0,0,0,0,0,161312.162,0
397,498.2927695,7.505116667,0,0,206046.7058,0,0,0,0,0,0,0,0,0,0,0
403,137.0449085,1.4496,0,0,243987.0652,0,1320764.274,0,0,0,0,0,0,0,764148.022,0
408,373.2081852,5.310566667,0,0,221779.6088,0,0,0,0,0,0,0,0,0,0,0
412,415.2557016,9.521833333,0,0,189507.011,0,0,0,0,0,0,0,0,0,0,0
